fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_lujanb,results_ronchettim,results_walshb,results_absentee_lujanb,results_absentee_ronchettim,results_absentee_walshb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
35019,Guadalupe,2177,0,7,7,Released as a separate subtotal at the end of tabulation,99,2189,>98%,>98% reported,edison,10,unknown,,1781,,,1240,898,39,0,0,0,2020-11-25T03:59:44Z,15.70969,D+16,Luján +16,democrat,new-mexico,2020-11-27T00:49:43.688546Z
35021,Harding,503,0,4,4,Merged into voters' home precincts and released with cumulative results,100,505,>98%,>98% reported,edison,10,unknown,,578,,,157,341,5,0,0,0,2020-11-25T04:08:02Z,36.58052,R+37,Ronchetti +37,republican,new-mexico,2020-11-27T00:49:43.688546Z
35023,Hidalgo,1919,0,7,7,Released as a precinct at the end of tabulation,97,1974,97%,97% reported,edison,10,all,,1219,,,793,1079,47,0,0,0,2020-11-25T03:59:26Z,14.9036,R+15,Ronchetti +15,republican,new-mexico,2020-11-27T00:49:43.688546Z
35025,Lea,20476,0,49,49,Other,98,20918,98%,98% reported,edison,10,unknown,,13517,,,4018,15950,508,0,0,0,2020-11-25T03:56:05Z,58.2731,R+58,Ronchetti +58,republican,new-mexico,2020-11-27T00:49:43.688546Z
35027,Lincoln,10247,0,22,22,Released as a separate subtotal in the middle of the tabulation,99,10306,>98%,>98% reported,edison,10,unknown,,9222,,,2915,7102,230,0,0,0,2020-11-25T04:00:39Z,40.86074,R+41,Ronchetti +41,republican,new-mexico,2020-11-27T00:49:43.688546Z
35028,Los Alamos,12299,0,21,21,Released as a separate subtotal as first report of the night,100,12299,>98%,>98% reported,edison,10,unknown,,11450,,,7018,4866,415,0,0,0,2020-11-25T04:08:20Z,17.49736,D+17,Luján +17,democrat,new-mexico,2020-11-27T00:49:43.688546Z
35029,Luna,7966,0,17,17,Released separately at end; NOT included in cumulative results,98,8103,98%,98% reported,edison,10,all,,6902,,,3425,4319,222,0,0,0,2020-11-25T03:58:47Z,11.2227,R+11,Ronchetti +11,republican,new-mexico,2020-11-27T00:49:43.688546Z
35031,McKinley,26267,0,54,54,Released as a separate subtotal as first report of the night,99,26486,>98%,>98% reported,edison,10,all,,10742,,,17129,8329,809,0,0,0,2020-11-25T04:06:11Z,33.50211,D+34,Luján +34,democrat,new-mexico,2020-11-27T00:49:43.688546Z
35033,Mora,2686,0,11,11,Released as a separate subtotal as first report of the night,100,2686,>98%,>98% reported,edison,10,unknown,,1890,,,1674,957,55,0,0,0,2020-11-25T04:07:49Z,26.69397,D+27,Luján +27,democrat,new-mexico,2020-11-27T00:49:43.688546Z
35035,Otero,23329,0,10,10,Released as a separate subtotal as first report of the night,99,23571,>98%,>98% reported,edison,10,unknown,,19006,,,7987,14627,715,0,0,0,2020-11-25T03:58:27Z,28.46243,R+28,Ronchetti +28,republican,new-mexico,2020-11-27T00:49:43.688546Z
35037,Quay,3848,0,12,12,Other,99,3873,>98%,>98% reported,edison,10,unknown,,3005,,,1214,2543,91,0,0,0,2020-11-25T04:05:17Z,34.53742,R+35,Ronchetti +35,republican,new-mexico,2020-11-27T00:49:43.688546Z
35039,Rio Arriba,16575,0,23,23,None,100,16628,>98%,>98% reported,edison,10,none,,8994,,,10615,5689,271,0,0,0,2020-11-25T04:06:37Z,29.71946,D+30,Luján +30,democrat,new-mexico,2020-11-27T00:49:43.688546Z
35041,Roosevelt,6531,0,19,19,Released as a separate subtotal as first report of the night,99,6608,>98%,>98% reported,edison,10,unknown,,4750,,,1774,4505,252,0,0,0,2020-11-25T04:05:31Z,41.81595,R+42,Ronchetti +42,republican,new-mexico,2020-11-27T00:49:43.688546Z
35045,San Juan,51983,0,75,77,Released as a separate subtotal as first report of the night,99,52294,>98%,>98% reported,edison,10,unknown,,40944,,,17250,33145,1588,0,0,0,2020-11-25T04:06:24Z,30.5773,R+31,Ronchetti +31,republican,new-mexico,2020-11-27T00:49:43.688546Z
35047,San Miguel,11521,0,32,32,Released as a separate subtotal at the end of tabulation,100,11531,>98%,>98% reported,edison,10,unknown,,8403,,,7817,3545,159,0,0,0,2020-11-25T04:05:53Z,37.08011,D+37,Luján +37,democrat,new-mexico,2020-11-27T00:49:43.688546Z
35043,Sandoval,76289,0,139,139,Released as a separate subtotal in the middle of the tabulation,100,76562,>98%,>98% reported,edison,10,unknown,,59458,,,37782,36666,1841,0,0,0,2020-11-25T04:07:28Z,1.46286,D+1.5,Luján +1.5,democrat,new-mexico,2020-11-27T00:49:43.688546Z
35049,Santa Fe,81809,0,153,154,Released as a separate subtotal as first report of the night,99,82227,>98%,>98% reported,edison,10,unknown,,66573,,,60432,19814,1563,0,0,0,2020-11-25T04:04:18Z,49.64979,D+50,Luján +50,democrat,new-mexico,2020-11-27T00:49:43.688546Z
35051,Sierra,5920,0,10,10,Released as a separate subtotal in the middle of the tabulation,100,5945,>98%,>98% reported,edison,10,unknown,,4688,,,2127,3653,140,0,0,0,2020-11-25T03:59:09Z,25.77703,R+26,Ronchetti +26,republican,new-mexico,2020-11-27T00:49:43.688546Z
35053,Socorro,7123,0,27,27,Released as a separate subtotal as first report of the night,99,7160,>98%,>98% reported,edison,10,unknown,,5411,,,3529,3384,210,0,0,0,2020-11-25T04:00:16Z,2.03566,D+2,Luján +2,democrat,new-mexico,2020-11-27T00:49:43.688546Z
35055,Taos,17125,0,52,52,Released as a separate subtotal as first report of the night,100,17181,>98%,>98% reported,edison,10,unknown,,13710,,,12986,3793,346,0,0,0,2020-11-25T04:07:18Z,53.68175,D+54,Luján +54,democrat,new-mexico,2020-11-27T00:49:43.688546Z
35057,Torrance,7267,0,22,22,Released as a precinct as first report of the night,100,7281,>98%,>98% reported,edison,10,unknown,,3667,,,2179,4904,184,0,0,0,2020-11-24T13:22:01Z,37.49828,R+37,Ronchetti +37,republican,new-mexico,2020-11-27T00:49:43.688546Z
35059,Union,1773,0,6,6,Released as a separate subtotal as first report of the night,99,1789,>98%,>98% reported,edison,10,unknown,,1322,,,399,1323,51,0,0,0,2020-11-25T04:06:49Z,52.11506,R+52,Ronchetti +52,republican,new-mexico,2020-11-27T00:49:43.688546Z
35061,Valencia,32131,0,62,62,None,100,32277,>98%,>98% reported,edison,10,unknown,,23248,,,13344,18056,731,0,0,0,2020-11-25T03:58:08Z,14.66497,R+15,Ronchetti +15,republican,new-mexico,2020-11-27T00:49:43.688546Z
