fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_hawkinsh,results_blankenshipd,results_la_rivag,results_mchughj,results_pierceb,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_hawkinsh,results_absentee_blankenshipd,results_absentee_la_rivag,results_absentee_mchughj,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
49021,Iron,23775,0,41,41,Released as a separate subtotal as first report of the night,100,20832,>98%,>98% reported,edison,2,unknown,,15125,,,18143,4685,626,81,73,84,20,23,40,,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:36Z,56.60568,R+57,Trump +57,republican,56.60568,17831,49.4,16701,72.16,utah,2020-11-17T00:43:13.576909Z
49023,Juab,5884,0,10,10,Released as a separate subtotal as first report of the night,100,5900,>98%,>98% reported,edison,4,unknown,,3157,,,5087,645,91,13,5,16,20,4,3,0,0,0,0,0,0,0,0,0,0,0,2020-11-16T15:48:36Z,75.49286,R+75,Trump +75,republican,75.49286,4221,48.9,3972,75.45,utah,2020-11-17T00:43:13.576909Z
49025,Kane,4180,0,12,12,Merged into voters' home precincts and released with cumulative results,100,4136,>98%,>98% reported,edison,2,unknown,,2752,,,2998,1083,51,15,8,16,0,2,7,,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:36Z,45.8134,R+46,Trump +46,republican,45.8134,3538,43.1,3371,52.74,utah,2020-11-17T00:43:13.576909Z
49027,Millard,5872,0,16,17,"As a subtotal in the FIRST cumulative report, along with regular precincts",95,6186,95%,95% reported,edison,2,unknown,,2212,,,5145,603,61,16,5,25,1,5,11,,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:36Z,77.35014,R+77,Trump +77,republican,77.35014,5269,59.6,5026,80.52,utah,2020-11-17T00:43:13.576909Z
49029,Morgan,6254,0,15,15,Released as a separate subtotal as first report of the night,100,6127,>98%,>98% reported,edison,2,unknown,,4537,,,4957,1060,155,33,13,21,0,5,10,,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:36Z,62.31212,R+62,Trump +62,republican,62.31212,5222,38.1,4597,80.73,utah,2020-11-17T00:43:13.576909Z
49031,Piute,871,0,5,5,Merged into voters' home precincts and released with cumulative results,94,923,94%,94% reported,edison,2,unknown,,682,,,773,86,7,3,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:36Z,78.87486,R+79,Trump +79,republican,78.87486,730,79.3,782,79.67,utah,2020-11-17T00:43:13.576909Z
49033,Rich,1363,0,5,5,Merged into voters' home precincts and released with cumulative results,100,1309,>98%,>98% reported,edison,2,unknown,,670,,,1157,180,14,4,2,3,0,2,1,,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:36Z,71.68012,R+72,Trump +72,republican,71.68012,1118,55.7,1007,82.62,utah,2020-11-17T00:43:13.576909Z
49035,Salt Lake,540758,507874,788,788,Released as a separate subtotal as first report of the night,100,494264,>98%,>98% reported,edison,4,unknown,,375002,,,230093,289793,12213,2589,2201,1570,579,774,946,,210607,277846,11375,2358,2056,1511,521,710,890,,2020-11-16T22:57:48Z,11.04006,D+11,Biden +11,democrat,-11.04006,423743,-8.9,381799,20.34,utah,2020-11-17T00:43:13.576909Z
49037,San Juan,6833,0,23,23,Merged into voters' home precincts and released with cumulative results,100,6427,>98%,>98% reported,edison,2,unknown,,3260,,,3525,3082,99,44,16,27,5,19,16,,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:37Z,6.48324,R+6,Trump +6,republican,6.48324,5534,10.9,5307,17.62,utah,2020-11-17T00:43:13.576909Z
49039,Sanpete,12455,0,29,29,Released as a separate subtotal as first report of the night,100,11994,>98%,>98% reported,edison,4,unknown,,4390,,,10315,1773,213,38,19,50,7,20,20,,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:37Z,68.5829,R+69,Trump +69,republican,68.5829,10247,45.2,9547,77.78,utah,2020-11-17T00:43:13.576909Z
49041,Sevier,10362,0,23,23,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,10212,>98%,>98% reported,edison,4,unknown,,7135,,,9052,1084,133,28,14,31,3,4,13,,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:37Z,76.89635,R+77,Trump +77,republican,76.89635,8695,67,8069,80.17,utah,2020-11-17T00:43:13.576909Z
49043,Summit,25439,0,50,50,Released as a separate subtotal as first report of the night,100,24356,>98%,>98% reported,edison,2,unknown,,20812,,,9928,14947,351,82,60,24,12,18,17,,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:37Z,19.72955,D+20,Biden +20,democrat,-19.72955,20885,-15.2,17488,4.64,utah,2020-11-17T00:43:13.576909Z
49045,Tooele,31506,26903,62,62,Released as a separate subtotal as first report of the night,100,28000,>98%,>98% reported,edison,4,all,,22742,,,21014,8943,958,152,81,181,33,81,63,,17594,8033,783,121,68,160,29,69,46,,2020-11-16T15:48:37Z,38.31334,R+38,Trump +38,republican,38.31334,21992,29.1,19261,50.59,utah,2020-11-17T00:43:13.576909Z
49047,Uintah,15303,13064,26,26,Released as a separate subtotal as first report of the night,100,15100,>98%,>98% reported,edison,4,all,,8700,,,13261,1663,226,37,29,56,5,10,16,,11290,1469,183,25,24,49,2,9,13,,2020-11-16T22:57:48Z,75.78906,R+76,Trump +76,republican,75.78906,12864,64.6,11583,81.36,utah,2020-11-17T00:43:13.576909Z
49049,Utah,271126,0,294,294,Released as a separate subtotal as first report of the night,100,237830,>98%,>98% reported,edison,4,all,,95185,,,183778,72739,9814,1581,804,1320,159,438,493,,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:37Z,40.95476,R+41,Trump +41,republican,40.95476,203642,20.5,177713,78.59,utah,2020-11-17T00:43:13.576909Z
49051,Wasatch,17218,0,38,38,None,100,14302,>98%,>98% reported,edison,4,unknown,,8962,,,10542,6090,348,82,44,53,7,34,18,,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:38Z,25.85666,R+26,Trump +26,republican,25.85666,12266,24.9,9589,52.45,utah,2020-11-17T00:43:13.576909Z
49053,Washington,90392,75949,113,113,Merged into voters' home precincts and released with cumulative results,100,77000,>98%,>98% reported,edison,4,unknown,,53675,,,67241,20520,1740,298,187,220,33,72,81,,55654,18332,1248,228,143,185,27,61,71,,2020-11-16T22:57:48Z,51.6871,R+52,Trump +52,republican,51.6871,62371,51.9,54012,67.32,utah,2020-11-17T00:43:13.576909Z
49055,Wayne,1621,0,7,7,Merged into voters' home precincts and released with cumulative results,97,1677,97%,97% reported,edison,2,unknown,,902,,,1229,365,9,7,3,3,2,1,2,,0,0,0,0,0,0,0,0,0,,2020-11-16T15:48:38Z,53.30043,R+53,Trump +53,republican,53.30043,1426,48.7,1327,65.86,utah,2020-11-17T00:43:13.576909Z
49057,Weber,110601,0,154,154,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,100346,>98%,>98% reported,edison,4,all,,74882,,,65414,40458,2827,520,478,415,55,184,250,,0,0,0,0,0,0,0,0,0,,2020-11-16T15:47:42Z,22.56399,R+23,Trump +23,republican,22.56399,86006,19.9,75912,45.29,utah,2020-11-17T00:43:13.576909Z
