fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_lujanb,results_ronchettim,results_walshb,results_absentee_lujanb,results_absentee_ronchettim,results_absentee_walshb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
35027,Lincoln,10247,0,22,22,Released as a separate subtotal in the middle of the tabulation,100,9959,>98%,>98% reported,edison,4,unknown,,9222,,,2915,7102,230,0,0,0,2020-11-07T02:00:41Z,40.86074,R+41,Ronchetti +41,republican,new-mexico,2020-11-10T20:55:03.498175Z
35028,Los Alamos,12299,0,20,21,Released as a separate subtotal as first report of the night,98,12518,98%,98% reported,edison,4,unknown,,11450,,,7018,4866,415,0,0,0,2020-11-10T02:00:41Z,17.49736,D+17,Luján +17,democrat,new-mexico,2020-11-10T20:55:03.498175Z
35029,Luna,7966,0,16,17,Released separately at end; NOT included in cumulative results,100,7998,>98%,>98% reported,edison,2,unknown,,6902,,,3425,4319,222,0,0,0,2020-11-06T02:00:39Z,11.2227,R+11,Ronchetti +11,republican,new-mexico,2020-11-10T20:55:03.498175Z
35031,McKinley,26126,0,54,54,Released as a separate subtotal as first report of the night,100,24880,>98%,>98% reported,edison,6,all,,10742,,,17042,8281,803,0,0,0,2020-11-10T02:00:42Z,33.53364,D+34,Luján +34,democrat,new-mexico,2020-11-10T20:55:03.498175Z
35033,Mora,2683,0,11,11,Released as a separate subtotal as first report of the night,89,3003,89%,89% reported,edison,2,unknown,,1890,,,1673,956,54,0,0,0,2020-11-04T10:43:27Z,26.72382,D+27,Luján +27,democrat,new-mexico,2020-11-10T20:55:03.498175Z
35035,Otero,23327,0,10,10,Released as a separate subtotal as first report of the night,100,23300,>98%,>98% reported,edison,2,unknown,,19006,,,7987,14625,715,0,0,0,2020-11-06T02:00:39Z,28.4563,R+28,Ronchetti +28,republican,new-mexico,2020-11-10T20:55:03.498175Z
35037,Quay,3848,0,11,12,Other,96,3995,96%,96% reported,edison,2,unknown,,3005,,,1214,2543,91,0,0,0,2020-11-05T00:48:48Z,34.53742,R+35,Ronchetti +35,republican,new-mexico,2020-11-10T20:55:03.498175Z
35039,Rio Arriba,16457,0,23,23,None,77,21300,77%,77% reported,edison,4,none,,8994,,,10518,5670,269,0,0,0,2020-11-06T20:55:07Z,29.45859,D+29,Luján +29,democrat,new-mexico,2020-11-10T20:55:03.498175Z
35041,Roosevelt,6531,0,19,19,Released as a separate subtotal as first report of the night,100,6557,>98%,>98% reported,edison,6,unknown,,4750,,,1774,4505,252,0,0,0,2020-11-07T02:00:42Z,41.81595,R+42,Ronchetti +42,republican,new-mexico,2020-11-10T20:55:03.498175Z
35045,San Juan,51983,0,75,77,Released as a separate subtotal as first report of the night,98,53000,98%,98% reported,edison,2,unknown,,40944,,,17250,33145,1588,0,0,0,2020-11-10T02:00:41Z,30.5773,R+31,Ronchetti +31,republican,new-mexico,2020-11-10T20:55:03.498175Z
35047,San Miguel,11502,0,30,32,Released as a separate subtotal at the end of tabulation,87,13235,87%,87% reported,edison,2,unknown,,8403,,,7802,3541,159,0,0,0,2020-11-10T02:00:42Z,37.04573,D+37,Luján +37,democrat,new-mexico,2020-11-10T20:55:03.498175Z
35043,Sandoval,76288,0,139,139,Released as a separate subtotal in the middle of the tabulation,100,75000,>98%,>98% reported,edison,2,unknown,,59458,,,37782,36665,1841,0,0,0,2020-11-10T02:00:41Z,1.46419,D+1.5,Luján +1.5,democrat,new-mexico,2020-11-10T20:55:03.498175Z
35049,Santa Fe,80856,0,151,154,Released as a separate subtotal as first report of the night,98,82149,98%,98% reported,edison,4,unknown,,66573,,,59584,19721,1551,0,0,0,2020-11-08T02:00:36Z,49.30123,D+49,Luján +49,democrat,new-mexico,2020-11-10T20:55:03.498175Z
35051,Sierra,5920,0,10,10,Released as a separate subtotal in the middle of the tabulation,100,5525,>98%,>98% reported,edison,4,unknown,,4688,,,2127,3653,140,0,0,0,2020-11-06T02:00:39Z,25.77703,R+26,Ronchetti +26,republican,new-mexico,2020-11-10T20:55:03.498175Z
35053,Socorro,7122,0,27,27,Released as a separate subtotal as first report of the night,100,7111,>98%,>98% reported,edison,6,unknown,,5411,,,3528,3384,210,0,0,0,2020-11-06T02:00:38Z,2.0219,D+2,Luján +2,democrat,new-mexico,2020-11-10T20:55:03.498175Z
35055,Taos,16736,0,49,52,Released as a separate subtotal as first report of the night,95,17640,95%,95% reported,edison,4,some,,13710,,,12689,3710,337,0,0,0,2020-11-05T00:48:48Z,53.65081,D+54,Luján +54,democrat,new-mexico,2020-11-10T20:55:03.498175Z
35057,Torrance,7267,0,22,22,Released as a precinct as first report of the night,100,6898,>98%,>98% reported,edison,2,unknown,,3667,,,2179,4904,184,0,0,0,2020-11-06T02:00:38Z,37.49828,R+37,Ronchetti +37,republican,new-mexico,2020-11-10T20:55:03.498175Z
35059,Union,1773,0,5,6,Released as a separate subtotal as first report of the night,94,1896,94%,94% reported,edison,2,unknown,,1322,,,399,1323,51,0,0,0,2020-11-06T02:00:39Z,52.11506,R+52,Ronchetti +52,republican,new-mexico,2020-11-10T20:55:03.498175Z
35061,Valencia,31793,0,62,62,None,100,29569,>98%,>98% reported,edison,2,unknown,,23248,,,13143,17925,725,0,0,0,2020-11-04T19:42:03Z,15.04105,R+15,Ronchetti +15,republican,new-mexico,2020-11-10T20:55:03.498175Z
